#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_101439_135			
BSI__PFLU_U_BE1__K141_101439_136			
BSI__PFLU_U_BE1__K141_101439_137		rimP	
BSI__PFLU_U_BE1__K141_101439_138		nusA	
BSI__PFLU_U_BE1__K141_101439_139		MA20_23920	
BSI__PFLU_U_BE1__K141_101439_140		infB	
BSI__PFLU_U_BE1__K141_101439_141		rbfA	
BSI__PFLU_U_BE1__K141_101439_142		truB	
BSI__PFLU_U_BE1__K141_101439_143		rpsO	
BSI__PFLU_U_BE1__K141_101439_144		pnp	
BSI__PFLU_U_BE1__K141_101439_145			
BSI__PFLU_U_BE1__K141_101439_146			
BSI__PFLU_U_BE1__K141_101439_147			
BSI__PFLU_U_BE1__K141_101439_148			
BSI__PFLU_U_BE1__K141_101439_149			
BSI__PFLU_U_BE1__K141_101439_150			
BSI__PFLU_U_BE1__K141_101439_151			
BSI__PFLU_U_BE1__K141_101439_152			
BSI__PFLU_U_BE1__K141_101439_153			
BSI__PFLU_U_BE1__K141_101439_154			
BSI__PFLU_U_BE1__K141_101439_155			
BSI__PFLU_U_BE1__K141_101439_156			
BSI__PFLU_U_BE1__K141_101439_157			
BSI__PFLU_U_BE1__K141_173029_1			
BSI__PFLU_U_BE1__K141_101439_158			
BSI__PFLU_U_BE1__K141_173029_2		rlmB	
BSI__PFLU_U_BE1__K141_101439_159			
BSI__PFLU_U_BE1__K141_173029_3			
BSI__PFLU_U_BE1__K141_101439_160			
BSI__PFLU_U_BE1__K141_173029_4			
BSI__PFLU_U_BE1__K141_101439_161			
BSI__PFLU_U_BE1__K141_173029_5			
BSI__PFLU_U_BE1__K141_101439_162			
BSI__PFLU_U_BE1__K141_173029_6			
BSI__PFLU_U_BE1__K141_101439_163		gyaR	
BSI__PFLU_U_BE1__K141_173029_7			
BSI__PFLU_U_BE1__K141_101439_164			
