Compound	Cluster	Classes	Common names	MetaCyc link
2-METHYL-ACETO-ACETYL-COA	3	Chemicals, Esters, FRAMES, 2-Methyl-3-oxoacyl-CoAs, 3-Oxoacyl-CoAs, Thioesters, All-Coas, Short-Chain-2-Methyl-3-oxoacyl-CoAs, ACYL-COA, Compounds, Compounds-And-Elements	2-methylacetoacetyl-CoA	https://metacyc.org/compound?orgid=META&id=2-METHYL-ACETO-ACETYL-COA
ACETALD	3	Aldehydes-Or-Ketones, Chemicals, n-Alkanals, FRAMES, Aldehydes, Compounds, Compounds-And-Elements	acetaldehyde	https://metacyc.org/compound?orgid=META&id=ACETALD
CARNOSINE	3	Dipeptides-With-Hist-C-Terminal-Position, Chemicals, FRAMES, DIPEPTIDES, OLIGOPEPTIDES, Peptides, Compounds, Compounds-And-Elements	carnosine	https://metacyc.org/compound?orgid=META&id=CARNOSINE
Cis-vaccenoyl-ACPs	3	Fatty-acyl-ACPs, Polypeptides, Long-Chain-Acyl-ACPs, Monounsaturated-acyl-ACPs, Saturated-Fatty-Acyl-ACPs, Chemicals, All-ACPs, Modified-Proteins, FRAMES, Proteins, Macromolecules, ACYL-ACP	a cis-vaccenoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-vaccenoyl-ACPs
11Z-3-oxo-icos-11-enoyl-ACPs	3	Monounsaturated-acyl-ACPs, Chemicals, All-ACPs, Modified-Proteins, FRAMES, Proteins, Macromolecules, ACYL-ACP, Polypeptides	an (11Z)-3-oxo-icos-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=11Z-3-oxo-icos-11-enoyl-ACPs
HISTIDINOL	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	histidinol	https://metacyc.org/compound?orgid=META&id=HISTIDINOL
CPD-9247	3	Unsaturated-Fatty-Acids, Chemicals, Vaccenate, FRAMES, Fatty-Acids, Organic-Acids, Acids, Long-Chain-Fatty-Acids, Monounsaturated-fatty-acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	cis-vaccenate	https://metacyc.org/compound?orgid=META&id=CPD-9247
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	3	Monounsaturated-acyl-ACPs, Chemicals, All-ACPs, Modified-Proteins, FRAMES, Proteins, Macromolecules, ACYL-ACP, Polypeptides	a (3R,11Z)-3-hydroxy-icos-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3R-11Z-3-hydroxy-icos-11-enoyl-ACPs
Oleoyl-ACPs	3	Monounsaturated-acyl-ACPs, Chemicals, All-ACPs, Modified-Proteins, FRAMES, Proteins, Macromolecules, ACYL-ACP, Polypeptides	an oleoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Oleoyl-ACPs
R-3-hydroxy-cis-vaccenoyl-ACPs	3	Chemicals, All-ACPs, Modified-Proteins, FRAMES, Proteins, Macromolecules, ACYL-ACP, OH-ACYL-ACP, Polypeptides	a (3R,11Z)-3-hydroxyoctadec-11-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=R-3-hydroxy-cis-vaccenoyl-ACPs
